scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,error,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
decay,medium,200,Exponential,71,3,"",4000,1,0,0,3,1552,0.388,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,72,4,"",4000,1,0,0,3,1604,0.401,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,73,5,"",4000,1.01,0,0,3,1574,0.3935,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,74,6,"",4000,1,0,0,3,1475,0.36875,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,75,7,"",4000,1,0,0,3,1559,0.38975,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,76,8,"",4000,1,0,0,3,1512,0.378,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,77,9,"",4000,1,0,0,3,1621,0.40525,2.6,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,78,10,"",4000,1,0,0,3,1728,0.432,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,79,11,"",4000,1,0,0,3,1689,0.42225,2.5,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
decay,medium,200,Exponential,80,12,"",4000,1,0,0,3,1460,0.365,2.4,Dynamical and censoring adjusted,"",,,,1.6,0.6,5.92985641859115,3.90349172318309,2,"Medium (mean: 5.9, sd: 3.9)",-0.1,Decay (-0.1)
