scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time,model,min_ess_bulk,min_ess_tail,time,tar_group.x,scenario_days,meanlog,sdlog,mean,sd,tar_group.y,distribution_stat,r,growth_rate
fast decay,short,200,Exponential,155,7,"",4000,1,460,0.115,7,67,0.01675,14.3,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
fast decay,short,200,Exponential,158,10,"",4000,1.01,2620,0.655,6,107,0.02675,13.6,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
fast decay,short,200,Exponential,160,12,"",4000,1.04,2930,0.7325,6,109,0.02725,13,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
fast decay,short,200,Exponential,163,15,"",4000,1.02,2597,0.64925,8,69,0.01725,26.7,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
fast decay,short,200,Exponential,164,16,"",4000,1,815,0.20375,5,277,0.06925,8.5,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
fast decay,short,200,Exponential,166,18,"",4000,1.01,2936,0.734,8,76,0.019,26.1,Dynamical and censoring adjusted (retrospective incidence),,,,,,1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",-0.2,Fast decay (-0.2)
late outbreak,short,10,Outbreak,6,1,"",4000,1.02,3081,0.77025,10,10,0.0025,28.3,Dynamical and censoring adjusted (real-time incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,10,Outbreak,6,1,"",4000,1.01,838,0.2095,6,70,0.0175,34.9,Dynamical and censoring adjusted (retrospective incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,100,Outbreak,18,1,"",4000,1,607,0.15175,5,46,0.0115,24.9,Dynamical and censoring adjusted (real-time incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
late outbreak,short,100,Outbreak,18,1,"",4000,1.53,850,0.2125,10,520,0.13,405.6,Dynamical and censoring adjusted (retrospective incidence),,,60,2,late outbreak (day 60),1.2,0.4,3.59663972556928,1.49816719007286,3,"Short (mean: 3.6, sd: 1.5)",,
