scenario,distribution,sample_size,data_type,id,replicate,obs_type
stable,short,200,exponential,318,2,
stable,short,200,exponential,319,3,
stable,short,200,exponential,320,4,
stable,short,200,exponential,321,5,
stable,short,200,exponential,322,6,
stable,short,200,exponential,323,7,
stable,short,200,exponential,324,8,
stable,short,200,exponential,325,9,
stable,short,200,exponential,326,10,
stable,short,200,exponential,327,11,
stable,short,200,exponential,328,12,
stable,short,200,exponential,329,13,
stable,short,200,exponential,330,14,
stable,short,200,exponential,331,15,
stable,short,200,exponential,332,16,
stable,short,200,exponential,333,17,
stable,short,200,exponential,334,18,
stable,short,200,exponential,335,19,
stable,short,200,exponential,336,20,
120 days,,200,ebola_case_study,337,,real-time
120 days,,200,ebola_case_study,338,,retrospective
180 days,,200,ebola_case_study,339,,real-time
180 days,,200,ebola_case_study,340,,retrospective
240 days,,200,ebola_case_study,341,,real-time
240 days,,200,ebola_case_study,342,,retrospective
60 days,,200,ebola_case_study,343,,real-time
60 days,,200,ebola_case_study,344,,retrospective
