scenario,meanlog,sdlog,mean,sd,tar_group
short,1.2,0.4,3.59663972556928,1.49816719007286,3
medium,1.6,0.6,5.92985641859115,3.90349172318309,2
long,1.8,0.8,8.33113748768769,7.88814376435135,1
