"mean","sd","median","p95"
11.965,5.8092,10.777,22.033
12.34,5.6459,11.501,22.788
10.277,5.3165,9.2271,20.496
10.231,5.3725,9.4406,20.49
9.9413,4.6398,9.3494,18.76
10.268,5.4308,9.634,20.74
11.226,6.4855,10.013,23.818
12.13,7.5291,10.81,27.615
12.005,5.6267,11.25,22.058
11.273,6.4919,9.9728,23.58
12.723,7.2511,11.146,25.841
13.048,7.4873,11.491,27.798
11.824,5.6294,10.883,21.843
11.843,5.3593,10.991,21.42
12.78,7.6693,11.496,26.295
10.515,6.3763,9.4804,23.367
11.878,6.3703,10.737,24.694
11.019,6.8266,9.5554,22.499
11.61,5.6752,10.565,22.691
10.106,7.9841,8.0179,25.817
12.092,9.2038,9.6227,29.789
12.006,6.89,10.656,24.773
11.063,6.6938,9.4519,24.25
8.9963,5.4861,7.637,19.082
12.769,7.5404,11.397,24.235
11.523,5.8775,10.754,21.859
12.548,7.6425,11.157,26.261
12.378,8.4844,10.604,27.292
12.94,7.9811,11.362,27.495
10.675,5.5512,9.9489,20.997
12.27,6.2821,11.572,23.739
12.079,7.2349,10.436,26.21
11.867,7.1071,10.485,24.72
14.752,8.11,13.424,27.749
13.267,7.2588,11.941,26.843
10.028,6.0288,8.9215,21.813
10.269,5.4227,9.6185,20.638
10.714,6.0475,9.445,22.416
10.103,5.3212,9.2785,20.719
9.0531,5.7189,7.5238,21.026
11.157,5.5818,10.021,22.068
12.5,6.7011,11.096,25.464
13.602,8.3114,12.055,29.561
13.662,10.204,11.238,32.485
10.315,6.1869,8.8323,22.757
14.203,8.0766,12.514,29.225
10.21,6.7459,8.8144,21.029
13.244,7.1656,12.352,26.405
11.518,6.5968,10.367,24.211
11.324,6.0399,10.381,22.256
10.924,5.8323,9.7785,21.087
10.946,7.3111,9.484,25.709
11.991,6.8945,10.718,25.588
11.748,6.067,11.097,22.45
12.474,7.6834,10.889,26.616
13.314,6.8197,12.069,25.953
13.028,7.7006,11.999,28.403
12.288,6.6075,10.995,25.377
10.832,4.9406,10.395,20.373
11.057,5.9671,9.9892,22.26
11.2,6.3521,10.196,22.539
11.384,8.0713,9.1402,28.197
12.585,5.9691,11.723,23.289
10.774,6.0188,9.4134,21.586
11.19,5.0635,10.102,20.654
11.972,8.3982,10.072,29.745
12.42,6.7629,11.139,24.85
11.913,6.0268,10.922,23.163
9.8539,5.6909,8.6405,20.854
13.908,7.1917,12.795,26.535
8.878,5.2864,7.5724,18.965
10.765,6.6297,9.2287,23.494
14.068,7.724,12.688,28.487
15.719,8.2555,14.051,31.997
11.909,5.3069,11.223,21.736
10.494,5.7463,9.4653,20.563
12.846,6.658,11.898,25.462
14.133,8.1594,12.866,27.899
12.095,7.0083,10.882,25.264
12.434,6.91,11.158,24.766
9.7305,5.0904,8.9049,19.459
9.601,5.1461,8.6408,18.955
11.932,5.4032,11.235,21.506
9.5072,6.1363,7.9444,21.385
9.7899,4.3518,9.3683,17.778
13.033,8.2458,11.119,27.661
12.318,5.9408,11.649,22.598
11.024,5.6647,10.124,22.001
12.402,8.5026,10.433,27.739
13.422,6.7422,12.298,26.492
11.538,5.9961,10.425,21.894
10.158,5.9215,8.9968,20.516
12.998,6.9952,11.709,26.473
15.87,11.496,13.187,36.732
11.247,5.797,10.133,21.805
12.018,7.1715,10.845,26.735
13.086,7.7836,11.98,28.072
10.034,5.3985,9.0815,20.359
11.545,5.7196,10.693,22.367
12.758,6.7377,11.79,25.991
10.695,4.8653,9.8557,20.238
10.417,6.0251,9.467,21.691
11.617,6.7842,10.45,25.285
11.374,6.0205,10.391,23.163
9.4982,7.3738,7.9197,24.423
11.39,5.9821,10.074,24.108
9.9793,5.468,9.2255,19.315
14.868,8.4175,13.098,29.967
12.836,5.9907,12.231,24.148
13.122,6.5544,11.635,25.235
11.555,5.9248,10.485,22.347
13.298,8.6772,11.281,28.155
15.534,10.054,13.773,34.714
10.845,5.7337,9.8348,21.029
10.595,6.272,9.6044,22.179
13.056,8.5592,11.668,30.047
12.704,9.0568,10.626,30.888
13.314,8.5304,11.179,28.914
13.786,7.8586,12.048,28.608
11.695,6.7648,10.554,23.829
11.354,6.3096,10.409,22.461
11.703,6.9529,10.5,23.928
11.166,6.7065,10.166,24.791
10.167,6.8067,8.6737,22.402
12.055,6.3437,10.795,23.849
11.53,6.1424,10.694,21.91
11.454,6.5856,10.342,24.691
13.127,7.1866,11.831,27.234
10.505,5.6054,9.2573,21.436
12.4,7.8769,10.583,27.152
9.4128,4.9362,8.6546,17.668
15.06,8.0323,13.525,30.084
12.427,7.9592,11.137,28.114
13.873,7.727,12.348,28.772
11.804,7.3213,10.496,25.355
12.97,6.2539,12.046,24.033
11.124,5.9904,9.7734,22.785
11.389,6.8236,10.075,23.596
12.046,7.539,10.63,25.437
12.471,8.1819,11.034,27.241
11.38,6.8012,9.9208,23.799
11.766,7.2845,10.311,25.072
13.88,8.2105,11.99,30.496
9.2769,6.0374,7.9478,22.035
12.825,6.9834,11.447,26.229
12.501,5.8665,11.65,23.311
11.669,6.3233,10.676,24.373
13.384,7.2141,12.449,26.579
13.392,5.7369,12.388,25.243
9.9928,5.2645,8.83,19.573
12.662,7.3512,11.108,27.562
9.9291,5.9173,8.6711,20.451
12.347,6.4741,11.389,24.266
15.508,7.6304,14.179,30.526
13.506,8.2744,11.96,30.138
10.461,6.1513,9.2507,21.594
12.262,6.5083,11.176,23.452
10.094,5.6689,9.2595,20.172
12.673,5.9435,11.899,22.924
10.986,6.9818,9.354,25.254
10.385,6.3849,8.7875,23.321
10.55,5.5072,9.961,21.482
10.907,5.2634,10.112,20.41
14.392,8.0627,12.798,28.145
12.704,6.2407,11.682,24.826
11.916,7.36,10.422,25.61
14.216,9.0702,12.388,32.684
11.631,6.3412,10.337,24.86
13.142,7.5149,12.052,27.75
12.771,5.6602,12.204,24.028
11.985,6.7602,10.77,24.348
13.586,7.8659,11.67,29.324
13.141,7.9605,11.268,29.608
13.279,7.9083,11.645,29.399
13.023,6.6971,11.742,26.198
11.262,6.7356,10.117,23.918
11.913,7.0038,10.589,23.681
11.3,5.5899,10.267,21.218
9.3971,5.4419,8.0364,19.726
12.871,8.1207,11.053,29.161
11.781,7.1243,10.201,26.861
9.7594,5.2669,8.9684,18.685
11.306,6.8605,9.8751,23.737
14.14,7.7666,12.864,29.729
10.741,6.0095,9.4863,22.405
12.245,6.0963,11.529,23.899
9.2158,5.5937,8.1317,20.023
10.794,5.7138,9.9551,20.179
12,5.5693,10.936,22.523
11.52,6.6736,10.105,24.359
11.128,5.8992,9.8646,22.255
11.227,5.5926,10.253,22.083
