"mean","sd","median","p95"
15.193,8.1719,13.803,29.845
8.7071,5.9697,7.1939,19.779
13.05,10.043,10.698,31.774
11.835,6.813,10.743,23.212
11.221,6.3514,10.073,22.534
11.689,6.6205,10.289,23.554
10.775,5.6825,9.628,21.559
13.048,7.9999,11.633,26.514
10.352,5.6997,9.1569,20.775
9.2872,4.635,8.6945,17.821
10.519,6.1614,9.186,22.503
12.443,5.8039,11.949,22.412
12.976,7.4786,11.298,26.401
12.053,6.6147,10.878,24.708
11.58,6.19,10.459,23.092
11.414,6.0944,10.349,21.986
10.989,6.9726,9.3326,24.099
12.245,5.752,11.086,23.301
12.417,8.8658,10.478,28.62
11.362,6.3906,10.017,24.212
10.558,5.5794,9.6889,21.145
9.7998,6.3701,8.1895,21.985
11.622,5.9699,10.443,22.722
11.759,7.0126,10.581,24.932
15.116,7.8395,13.704,30.39
13.495,7.2014,12.16,27.503
11.733,6.6444,10.496,23.225
10.825,4.9502,10.221,19.447
11.698,6.1026,10.434,22.665
10.087,5.7544,8.8418,21.67
11.619,6.3342,10.636,23.096
10.821,5.0541,9.9007,19.656
10.547,5.1748,9.6444,20.235
12.743,8.5119,11.125,28.477
12.903,6.9297,11.626,25.899
11.38,6.7104,10.035,24.409
10.273,6.0525,9.0632,21.665
14.77,8.4654,13.128,32.665
10.692,5.3539,9.8511,19.949
11.518,5.7101,10.449,22.011
10.661,5.0621,9.7183,19.388
10.981,7.2103,9.5582,24.014
11.702,6.7884,10.441,24.777
13.95,8.1385,12.473,28.592
11.26,5.0992,10.441,20.538
14.405,10.119,11.881,35.986
13.624,8.073,12.304,28.964
15.72,8.238,14.407,31.828
12.283,7.0338,10.839,26.311
11.188,7.8179,9.3393,26.269
11.303,5.8745,10.098,22.432
11.064,5.8496,10.14,22.259
9.451,5.0804,8.4667,19.319
11.523,6.3191,10.228,23.339
10.183,5.5987,9.0539,21.035
10.769,5.7738,9.4766,21.982
12.959,7.1384,11.649,25.948
12.264,6.8078,10.871,25.477
9.6192,4.9349,8.8804,19.002
11.081,5.5291,10.141,21.886
12.552,5.8646,11.65,23.06
13.345,6.9881,12.237,26.551
13.733,7.8508,12.2,29.082
13.5,8.4235,12.325,28.51
10.437,5.8188,9.3602,21.858
11.767,6.6371,10.648,23.85
10.985,6.9634,9.5852,24.029
11.81,6.0461,10.86,23.225
11.238,5.8838,10.46,21.73
10.616,6.5426,9.4149,22.001
11.77,6.1731,11.023,23.332
12.273,8.3091,10.123,26.942
11.681,6.9782,10.289,25.012
11.86,6.9225,10.664,25.462
11.1,6.7803,9.6703,24.004
11.062,4.6046,10.576,19.663
13.304,8.1627,11.7,28.6
13.52,7.2338,12.488,27.964
11.079,7.1547,9.2465,24.21
10.243,5.7568,9.0842,21.875
14.614,9.2305,12.566,33.57
10.461,5.7482,9.3359,21.333
11.523,6.5723,10.59,23.987
10.703,5.5602,9.9015,21.724
11.083,5.7219,10.152,21.081
11.787,7.1531,10.436,24.884
12.04,6.2019,10.735,22.47
12.954,7.2481,11.362,26.333
12.446,6.7853,11.194,24.851
10.85,6.111,9.7865,22.173
11.498,6.002,10.376,22.843
11.376,6.6052,10.047,24.165
12.149,6.5726,10.756,24.602
12.816,7.1364,11.57,26.876
12.923,5.8957,12.233,23.375
10.384,5.8141,9.1854,21.706
11.276,6.4881,9.9877,23.429
15.984,7.8231,14.737,31.108
16.409,9.4342,14.461,34.214
12.126,6.6618,10.731,24.573
11.211,6.0147,10.103,23.215
11.496,6.6335,10.261,24.1
9.8156,5.5534,8.7309,21.088
8.1315,4.1597,7.4263,16.095
12.875,6.7315,11.43,25.603
13.98,9.0183,12.26,30.34
11.697,6.1876,10.59,23.353
11.677,6.5226,11.031,24.58
11.813,6.957,10.552,24.567
9.1901,4.8923,8.3577,18.659
12.03,5.376,11.359,21.747
15.724,9.776,14.252,33.893
12.358,7.3567,11.033,26.716
14.061,7.6012,12.892,28.067
9.7449,5.7384,8.5529,20.006
13.299,7.3746,11.467,27.257
12.006,6.4643,10.699,24.931
10.486,6.0387,9.1773,22.547
12.641,6.4862,11.408,25.397
14.442,8.3047,12.519,29.757
13.059,8.0901,11.227,27.852
12.652,7.1239,11.413,26.336
13.092,7.3656,11.422,26.177
9.6849,6.3648,8.0361,21.934
11.306,7.6638,9.8317,25.913
9.9143,5.9635,8.8431,21.171
13.925,6.5869,12.769,25.468
10.311,7.1646,8.4214,24.031
11.852,7.087,10.328,25.786
12.316,6.3558,11.309,24.199
13.301,7.2952,11.694,27.296
11.545,6.3686,10.326,24.178
12.03,6.0514,11.092,23.186
11.701,6.2541,10.695,22.873
10.875,5.7259,9.866,21.145
12.619,7.4104,11.572,26.419
13.418,8.3032,11.107,29.012
13.047,7.7992,11.573,28.256
12.168,7.8112,10.563,28.354
12.413,6.6867,11.237,24.92
10.302,5.3234,9.0696,20.446
13.33,8.7678,11.672,30.484
11.676,5.9341,10.311,22.613
11.429,5.634,10.485,21.468
11.519,5.4602,10.396,22.141
11.312,6.1012,10.26,22.736
12.204,7.3688,10.538,25.766
12.436,6.7741,11.215,25.417
12.211,6.9365,10.703,25.808
10.927,6.9598,9.4628,23.452
12.626,7.2397,11.193,26.457
11.976,6.5176,11.332,23.736
14.872,8.7426,13.269,30.157
10.651,5.4936,9.5763,20.133
9.5928,5.8262,8.4903,19.334
10.119,5.711,9.1424,20.998
12.27,6.6531,11.056,25.342
12.042,6.7935,10.473,24.214
12.046,6.3924,11.001,25.026
9.3148,4.8966,8.5545,17.834
9.3417,4.4633,8.2535,17.302
10.983,6.462,9.4426,23.485
10.773,4.697,9.9964,19.229
12.904,7.3786,11.578,25.953
10.099,5.951,8.7872,20.752
11.408,8.1663,9.5073,26.734
13.445,8.453,11.577,29.116
11.506,6.8166,10.258,25.368
13.913,8.6348,11.909,30.229
9.9137,4.2591,9.2701,17.804
12.572,7.2148,11.69,25.782
11.187,6.8506,9.2143,24.002
11.116,6.779,9.8329,22.929
10.412,5.0694,9.778,19.744
15.027,9.7559,13.027,35.044
11.347,7.3446,9.7244,25.513
10.047,4.2108,9.6955,17.432
10.098,6.6721,8.7615,22.887
10.703,6.4558,9.4461,22.587
10.471,4.9798,9.4504,19.756
10.967,6.0134,9.6806,23.049
13.389,7.6077,12.12,28.28
11.4,6.2337,10.085,23.341
10.733,4.9765,10.303,19.612
11.229,5.5521,10.264,20.935
11.221,5.7521,10.422,22.29
12.673,6.2953,11.556,25.414
10.488,5.8994,9.1493,21.274
11.494,6.9267,10.344,24.315
10.074,5.3244,9.2014,20.88
9.652,5.6842,8.6087,20.412
13.531,8.5659,11.422,30.291
10.148,6.6179,8.7546,22.148
11.386,6.8807,9.8285,24.404
10.697,6.1028,9.5469,22.611
11.525,5.4867,10.812,21.814
14.238,8.0096,12.796,30.526
13.24,6.4383,12.111,25.383
10.423,5.9679,9.2835,21.029
13.242,7.8971,11.301,28.384
12.528,7.3006,11.72,25.636
11.655,6.3518,10.304,23.859
11.85,6.8325,10.467,25.203
11.49,6.5608,10.296,23.735
10.174,6.2675,9.0466,21.804
12.223,6.3574,11.101,24.478
10.751,5.9459,9.5295,22.042
10.026,6.3146,8.7688,21.519
9.1759,5.1107,8.0371,18.674
10.728,6.7172,9.2359,23.158
11.258,6.4249,10.045,23.851
9.7817,5.8204,8.8572,20.708
10.98,5.9173,9.8992,23.021
12.116,6.5696,11.072,24.906
12.406,7.166,11.187,25.71
13.423,8.1744,11.569,28.986
13.267,7.8795,11.721,27.101
12.4,6.9319,11.044,26.425
12.783,7.1128,11.523,26.254
12.483,5.5544,11.616,23.025
14.505,7.1744,13.031,28.91
13.059,7.1797,12.226,25.953
10.338,6.4925,8.9511,23.973
11.968,6.8948,10.43,24.262
11.713,6.0612,10.585,23.48
9.9011,6.0687,8.673,21.643
10.192,6.1679,8.8281,22.321
14.305,7.8593,12.815,29.965
12.485,7.1414,11.216,25.899
12.853,6.7267,11.449,24.853
12.21,6.5141,11.095,23.305
9.56,5.4935,8.6741,19.739
12.427,6.8065,11.52,25.555
12.997,7.8737,11.568,27.34
12.278,7.007,11.043,26.199
10.736,6.4001,9.3604,22.544
12.879,6.4576,11.861,24.499
11.267,6.379,9.7333,23.249
11.889,7.002,10.732,24.329
10.975,5.8075,10.192,22.603
10.989,5.7395,10.013,21.641
10.105,4.8526,9.2369,19.148
11.877,5.7927,10.653,23.151
11.615,5.7357,10.886,22.537
11.238,7.3806,9.6644,25.33
11.355,6.6425,9.8482,24.242
10.636,4.9274,9.8699,19.556
13.933,8.7979,12.214,31.342
9.632,6.9743,8.2332,22.082
12.708,9.1679,10.838,32.01
10.36,5.0592,9.4554,19.736
13.761,9.4183,11.902,31.511
11.156,6.1926,9.8429,22.624
11.242,5.6648,10.207,22.323
11.242,5.1841,10.584,21.402
10.825,5.7114,9.8329,21.867
12.496,6.6011,11.005,25.666
11.984,6.0496,11.024,23.474
11.686,6.7419,10.458,24.345
11.484,6.2438,10.155,23.882
10.627,6.2366,9.2557,22.813
12.227,7.6817,10.722,28.217
12.494,6.5289,11.516,24.144
12.308,7.9926,10.406,27.543
12.098,6.164,11.132,24.1
10.816,4.9778,10.227,20.366
11.498,6.1863,10.402,23.306
13.845,6.3876,12.717,25.632
12.985,8.1679,11.374,29.509
12.495,7.931,10.922,28.917
13.657,7.3351,12.456,26.544
14.298,9.2454,12.358,34.019
12.314,6.731,11.418,23.6
11.127,7.0634,9.5922,23.683
13.089,6.7368,11.922,25.079
12.194,6.321,11.107,23.737
12.009,6.2895,10.83,24.38
9.6426,5.2663,8.6106,19.408
10.963,5.9719,9.9391,22.304
12.118,6.726,10.687,24.422
13.98,7.8724,12.591,29.145
12.344,8.7302,10.204,29.331
13.907,6.4354,12.932,25.865
8.9364,5.1506,7.8969,18.481
13.22,6.7893,11.798,25.045
10.448,5.713,9.351,20.921
12.593,7.3716,11.076,25.548
14.837,11.587,12.047,36.046
12.239,7.3797,10.849,26.336
15.057,8.3383,13.49,30.89
9.3905,5.0984,8.7497,19.817
9.2649,5.0574,8.4078,18.032
10.983,4.8369,10.153,20.286
12.36,7.4016,11.085,25.748
10.992,6.601,9.4279,24.343
13.176,7.7174,11.841,27.368
11.991,6.6527,10.531,24.792
12.206,6.4946,11.039,23.753
10.663,6.1983,9.9139,21.441
12.739,7.8457,11.02,27.848
11.655,6.1986,10.53,23.463
11.007,6.1227,9.6361,22.986
12.465,7.1061,11.072,26.404
12.359,6.0505,11.559,24.616
10.806,5.918,9.6215,22.06
12.671,7.3685,11.224,26.925
12.034,7.6785,10.33,26.608
11.299,6.1028,9.8713,23.015
11.49,6.5624,10.476,23.534
9.5687,5.1816,8.8366,19.892
10.745,5.7205,9.6645,21.938
12.002,6.2819,10.994,24.737
11.574,6.8499,10.028,25.624
11.134,5.9114,10.455,21.916
12.498,5.9146,11.324,23.667
15.372,10.129,13.171,33.047
15.02,8.2528,14.043,29.97
14.266,7.9278,12.87,28.113
12.139,5.9016,11.291,23.347
13.279,9.8396,10.761,33.087
11.66,5.4947,10.961,22.356
11.232,5.7858,10.087,22.51
10.607,6.5723,8.927,24.647
14.787,9.5462,12.734,32.964
10.679,6.1574,9.8501,22.378
11.019,5.9543,9.8669,22.722
11.189,6.0299,10.36,21.584
13.296,7.4285,12.1,26.177
12.368,7.4506,11.073,24.558
12.046,6.5037,10.678,24.546
13.862,8.388,12.292,30.092
13.153,8.5059,11.231,29.554
12.454,6.942,11.141,26.485
11.393,5.7836,10.568,21.773
12.03,6.5049,10.699,23.65
13.41,7.0615,12.01,26.552
9.8251,5.8159,8.3581,21.454
12.932,6.6598,12.211,25.489
13.945,7.2867,12.59,28.058
9.4955,5.879,8.0968,20.635
11.835,6.0136,10.941,23.133
12.497,6.9403,11.482,24.879
11.846,6.4078,10.682,24.275
11.923,7.124,10.177,25.623
12.728,6.9779,11.395,26.514
10.987,7.0544,9.3102,25.122
13.662,8.8141,11.712,29.63
9.1958,5.4789,7.9053,19.31
12.451,6.754,11.232,25.38
8.7546,4.8943,7.9942,17.91
12.425,6.8195,11.109,25.471
13.398,6.8363,12.152,25.569
13.065,8.417,10.594,29.55
12.358,7.6628,10.947,27.365
13.382,7.082,12.38,26.256
11.826,6.715,10.396,24.092
11.513,6.2762,10.253,22.981
11.203,6.0441,10.415,21.937
12.202,5.0907,11.479,20.351
14.215,6.5752,12.795,26.495
8.7645,6.0014,7.5911,20.061
10.233,6.7487,8.8413,23.336
9.8819,6.5452,8.4141,22.601
14.504,7.6819,13.281,27.557
12.027,5.9941,11.063,22.983
11.317,5.9814,10.423,22.563
12.802,5.9737,12.25,23.597
12.98,9.8401,10.655,32.478
11.969,6.4378,10.737,23.406
11.562,6.9238,10.292,24.53
11.255,6.4537,10.071,24.249
12.161,5.9602,11.129,23.235
10.179,6.2957,8.8809,21.605
11.25,5.6702,10.196,22.241
12.806,5.9494,11.685,24.761
9.962,5.6593,8.9025,20.613
12.157,6.9384,10.682,24.504
12.304,7.7022,10.775,25.751
11.432,5.9471,10.416,23.724
11.69,5.6637,10.912,21.819
12.342,7.0891,10.991,25.566
10.484,7.5472,8.4851,27.494
11.79,6.7727,10.254,24.504
12.884,8.1007,11.113,28.393
12.501,7.8926,11.137,26.335
9.5447,5.811,8.5544,20.682
14.342,6.91,13.434,27.356
15.09,9.7601,13.082,32.344
13.977,8.9776,11.751,32.117
9.9131,6.9887,8.1421,24.295
10.635,5.7565,9.6137,20.691
10.697,6.4944,9.7352,22.994
10.772,5.4724,9.6168,20.825
10.715,5.8482,9.4843,21.942
11.43,6.043,10.592,22.931
12.276,6.383,11.291,24.606
10.949,6.2891,9.8305,23.767
12.701,7.4649,11.468,26.247
12.786,6.5103,11.796,25.535
11.882,6.6805,10.538,24.063
10.537,5.1307,9.7517,20.171
10.526,5.5179,9.4335,20.902
10.738,5.4776,10.136,20.407
12.037,6.4644,10.71,23.544
12.085,8.8711,10.181,30.095
13.617,7.2172,12.29,28.099
12.593,7.4458,11.44,26.527
11.612,5.0534,10.732,20.961
13.71,7.1134,12.255,26.64
11.784,6.9357,10.518,25.743
12.458,7.6735,11.238,25.609
10.936,5.7345,10.091,21.993
10.81,6.3394,9.4554,22.323
11.825,6.9355,10.453,24.705
11.642,5.7824,10.623,22.591
11.386,6.6986,10.27,23.745
11.435,7.58,9.8132,24.759
12.668,8.0062,11.191,29.214
11.79,7.2895,10.339,25.022
10.881,5.3715,9.9009,20.734
13.147,6.2994,12.063,24.404
11.993,7.8915,10.614,27.578
11.866,7.0109,10.15,25.991
9.1106,5.8854,8.1214,20.808
12.345,6.763,11.357,24.688
12.099,6.2762,11.01,23.104
13.225,7.5943,11.682,28.337
11.474,6.7381,10.342,24.373
11.372,5.4967,10.637,21.773
10.807,6.1552,9.4384,22.602
17.408,10.47,15.784,36.486
11.207,6.1826,9.9896,22.613
12.408,5.8783,11.641,23.056
12.911,6.9888,11.226,26.199
10.04,4.5135,9.3299,19.338
