id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
14,early outbreak,medium,100,outbreak,mean,3.9,3.9,3.5,3.6,3.7,3.8,4,4.1,4.3,4.4
14,early outbreak,medium,100,outbreak,sd,2.3,2.2,1.8,1.9,2,2.1,2.3,2.5,2.8,2.9
15,early outbreak,short,100,outbreak,meanlog,1.1,1.1,1,1,1,1.1,1.1,1.1,1.1,1.2
15,early outbreak,short,100,outbreak,sdlog,0.37,0.37,0.33,0.33,0.35,0.36,0.38,0.39,0.42,0.43
15,early outbreak,short,100,outbreak,mean,3.1,3.1,2.9,2.9,3,3.1,3.2,3.2,3.4,3.4
15,early outbreak,short,100,outbreak,sd,1.2,1.2,1,1,1.1,1.2,1.3,1.3,1.4,1.5
16,late outbreak,long,100,outbreak,meanlog,1.6,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8
16,late outbreak,long,100,outbreak,sdlog,0.79,0.79,0.69,0.7,0.74,0.77,0.81,0.84,0.89,0.91
16,late outbreak,long,100,outbreak,mean,7,6.9,5.9,6,6.4,6.7,7.2,7.5,8.1,8.4
16,late outbreak,long,100,outbreak,sd,6.6,6.4,4.8,5,5.6,6,6.9,7.4,8.6,9.1
17,late outbreak,medium,100,outbreak,meanlog,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8
17,late outbreak,medium,100,outbreak,sdlog,0.58,0.57,0.5,0.51,0.54,0.56,0.59,0.61,0.65,0.66
17,late outbreak,medium,100,outbreak,mean,6.3,6.2,5.5,5.6,5.9,6.1,6.4,6.6,7,7.1
17,late outbreak,medium,100,outbreak,sd,3.9,3.9,3.1,3.2,3.5,3.7,4.1,4.3,4.8,5
18,late outbreak,short,100,outbreak,meanlog,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3
18,late outbreak,short,100,outbreak,sdlog,0.45,0.44,0.39,0.4,0.42,0.43,0.46,0.47,0.5,0.51
18,late outbreak,short,100,outbreak,mean,3.7,3.7,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.1
18,late outbreak,short,100,outbreak,sd,1.8,1.7,1.5,1.5,1.6,1.7,1.8,1.9,2.1,2.2
19,near peak,long,100,outbreak,meanlog,1.4,1.4,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5
19,near peak,long,100,outbreak,sdlog,0.66,0.66,0.57,0.59,0.62,0.64,0.68,0.7,0.75,0.77
19,near peak,long,100,outbreak,mean,5,5,4.3,4.5,4.7,4.9,5.1,5.3,5.7,5.8
19,near peak,long,100,outbreak,sd,3.7,3.7,2.9,3,3.3,3.5,3.9,4.1,4.7,5
20,near peak,medium,100,outbreak,meanlog,1.5,1.5,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.6
