id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
59,fast growth,medium,1000,exponential,sd,2.9,2.9,2.6,2.7,2.8,2.8,2.9,3,3,3.1
60,fast growth,short,1000,exponential,meanlog,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
60,fast growth,short,1000,exponential,sdlog,0.44,0.44,0.42,0.42,0.43,0.44,0.44,0.45,0.46,0.46
60,fast growth,short,1000,exponential,mean,3.2,3.2,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.3
60,fast growth,short,1000,exponential,sd,1.5,1.5,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6
61,stable,long,1000,exponential,meanlog,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6
61,stable,long,1000,exponential,sdlog,0.73,0.73,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77
61,stable,long,1000,exponential,mean,6.3,6.3,6,6,6.1,6.2,6.3,6.4,6.5,6.6
61,stable,long,1000,exponential,sd,5.3,5.3,4.9,4.9,5.1,5.2,5.4,5.5,5.7,5.8
62,stable,medium,1000,exponential,meanlog,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5
62,stable,medium,1000,exponential,sdlog,0.57,0.57,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.6
62,stable,medium,1000,exponential,mean,5.1,5.1,4.9,4.9,5,5,5.1,5.2,5.2,5.3
62,stable,medium,1000,exponential,sd,3.1,3.1,2.9,2.9,3,3.1,3.2,3.2,3.3,3.4
63,stable,short,1000,exponential,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
63,stable,short,1000,exponential,sdlog,0.44,0.44,0.42,0.42,0.43,0.43,0.44,0.45,0.46,0.46
63,stable,short,1000,exponential,mean,3.6,3.6,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.7
63,stable,short,1000,exponential,sd,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.8
