id,scenario,distribution,sample_size,data_type,parameter,mean,median,q2.5,q5,q20,q35,q65,q80,q95,q97.5
14,early outbreak,medium,100,outbreak,mean,6.1,5.5,4.4,4.5,4.9,5.2,5.9,6.4,8.2,9.5
14,early outbreak,medium,100,outbreak,sd,4.6,3.5,2.2,2.3,2.8,3.1,4,4.8,7.1,9.2
15,early outbreak,short,100,outbreak,meanlog,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3
15,early outbreak,short,100,outbreak,sdlog,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.23,0.24,0.25
15,early outbreak,short,100,outbreak,mean,3.5,3.5,3.3,3.3,3.4,3.4,3.5,3.6,3.7,3.7
15,early outbreak,short,100,outbreak,sd,0.78,0.77,0.71,0.72,0.74,0.76,0.79,0.81,0.86,0.89
16,late outbreak,long,100,outbreak,meanlog,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.9
16,late outbreak,long,100,outbreak,sdlog,0.82,0.82,0.69,0.7,0.75,0.79,0.85,0.88,0.96,1
16,late outbreak,long,100,outbreak,mean,7.6,7.5,6.1,6.3,6.8,7.2,7.9,8.3,9.4,9.8
16,late outbreak,long,100,outbreak,sd,7.6,7.3,5,5.3,6.1,6.7,8,8.9,11,13
17,late outbreak,medium,100,outbreak,meanlog,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8
17,late outbreak,medium,100,outbreak,sdlog,0.57,0.57,0.49,0.5,0.53,0.55,0.59,0.61,0.66,0.67
17,late outbreak,medium,100,outbreak,mean,6.3,6.3,5.6,5.7,6,6.1,6.4,6.7,7.1,7.2
17,late outbreak,medium,100,outbreak,sd,3.9,3.9,3.1,3.2,3.5,3.7,4.1,4.4,4.9,5.2
18,late outbreak,short,100,outbreak,meanlog,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3
18,late outbreak,short,100,outbreak,sdlog,0.41,0.4,0.34,0.35,0.38,0.39,0.42,0.43,0.47,0.48
