scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
growth,short,200,exponential,287,19,,4000,1,919.55,549,0,0,7,10,0.0025,13
growth,short,200,exponential,288,20,,4000,1,1167.12,917,0,0,7,6,0.0015,15
stable,long,200,exponential,289,1,,4000,1,1072.4,635,0,0,6,92,0.023,10.1
stable,long,200,exponential,290,2,,4000,1,1090.68,804,0,0,6,47,0.01175,9.4
stable,long,200,exponential,291,3,,4000,1,978.43,878,0,0,6,210,0.0525,9.8
stable,long,200,exponential,292,4,,3000,1,1084.07,906,0,0,6,29,0.00966666666666667,8.5
stable,long,200,exponential,293,5,,4000,1,1134.4,775,0,0,6,93,0.02325,8.3
stable,long,200,exponential,294,6,,4000,1,1042.72,727,0,0,6,75,0.01875,9.4
stable,long,200,exponential,295,7,,4000,1,1174.27,994,0,0,6,70,0.0175,9.3
stable,long,200,exponential,296,8,,4000,1,1346.69,1034,0,0,6,40,0.01,9.5
stable,long,200,exponential,297,9,,4000,1,1148.95,920,0,0,6,82,0.0205,8.5
stable,long,200,exponential,298,10,,4000,1,1243.79,784,0,0,6,196,0.049,9
stable,long,200,exponential,299,11,,4000,1,1286.6,871,0,0,6,97,0.02425,8.9
stable,long,200,exponential,300,12,,4000,1,1122.35,806,0,0,6,117,0.02925,9
stable,long,200,exponential,301,13,,4000,1,1086.46,1078,0,0,6,158,0.0395,9.4
stable,long,200,exponential,302,14,,4000,1,1311.23,861,0,0,6,53,0.01325,8.8
stable,long,200,exponential,303,15,,4000,1,1185.03,767,0,0,6,91,0.02275,8.4
stable,long,200,exponential,304,16,,4000,1,1113.44,831,0,0,6,31,0.00775,8.8
stable,long,200,exponential,305,17,,4000,1,1264.36,1067,0,0,6,149,0.03725,10
stable,long,200,exponential,306,18,,4000,1,1291.33,1233,0,0,6,114,0.0285,9.6
stable,long,200,exponential,307,19,,4000,1,1086.1,1013,0,0,6,124,0.031,9.7
stable,long,200,exponential,308,20,,4000,1,1205.41,1001,0,0,6,73,0.01825,8.7
stable,medium,200,exponential,309,1,,4000,1,1098.14,1045,0,0,6,140,0.035,9.8
stable,medium,200,exponential,310,2,,4000,1,1191.21,1331,0,0,6,78,0.0195,9.4
stable,medium,200,exponential,311,3,,4000,1,1269.34,1038,0,0,6,102,0.0255,9.6
stable,medium,200,exponential,312,4,,4000,1,1251.58,894,0,0,6,78,0.0195,9.9
stable,medium,200,exponential,313,5,,4000,1,1212.95,1017,0,0,6,23,0.00575,9.5
stable,medium,200,exponential,314,6,,4000,1,1376.96,1400,0,0,6,19,0.00475,9
stable,medium,200,exponential,315,7,,4000,1,1128.07,1057,0,0,6,10,0.0025,8.5
stable,medium,200,exponential,316,8,,4000,1,1145.1,1065,0,0,6,21,0.00525,9.5
stable,medium,200,exponential,317,9,,4000,1,1564.01,1085,0,0,6,15,0.00375,8.5
stable,medium,200,exponential,318,10,,4000,1,1281.85,1031,0,0,6,127,0.03175,9.8
stable,medium,200,exponential,319,11,,4000,1,946.82,811,0,0,6,131,0.03275,9.3
stable,medium,200,exponential,320,12,,4000,1,1011.86,1100,0,0,6,37,0.00925,9.7
stable,medium,200,exponential,321,13,,4000,1,1065.47,518,0,0,6,36,0.009,8.3
stable,medium,200,exponential,322,14,,4000,1,1386.71,1131,0,0,6,15,0.00375,8.2
stable,medium,200,exponential,323,15,,4000,1,1100.58,765,0,0,6,26,0.0065,8.9
stable,medium,200,exponential,324,16,,4000,1,1296.55,711,0,0,6,18,0.0045,9.1
stable,medium,200,exponential,325,17,,4000,1,1186.83,805,0,0,6,182,0.0455,9.7
stable,medium,200,exponential,326,18,,3000,1,1002.48,732,0,0,6,9,0.003,8.9
stable,medium,200,exponential,327,19,,4000,1,1320.83,1281,0,0,6,21,0.00525,9.3
stable,medium,200,exponential,328,20,,4000,1,1126.78,1079,0,0,6,19,0.00475,8.4
stable,short,200,exponential,329,1,,3000,1,1009.32,989,0,0,6,12,0.004,8.7
stable,short,200,exponential,330,2,,4000,1,1242.67,1011,0,0,6,29,0.00725,8.7
stable,short,200,exponential,331,3,,4000,1,1301.72,1133,0,0,6,33,0.00825,9.6
stable,short,200,exponential,332,4,,4000,1,1007.92,742,0,0,6,176,0.044,9.6
stable,short,200,exponential,333,5,,4000,1,1153.84,900,0,0,6,139,0.03475,10.3
stable,short,200,exponential,334,6,,4000,1,1115.77,1143,0,0,6,86,0.0215,10.2
stable,short,200,exponential,335,7,,4000,1,1303.78,961,0,0,6,62,0.0155,10.1
stable,short,200,exponential,336,8,,4000,1,884.29,611,0,0,6,11,0.00275,8.4
stable,short,200,exponential,337,9,,4000,1,1081.79,729,0,0,6,22,0.0055,10.2
stable,short,200,exponential,338,10,,4000,1,1343.5,962,0,0,6,17,0.00425,8.9
stable,short,200,exponential,339,11,,4000,1,1301.5,1147,0,0,6,168,0.042,9.5
stable,short,200,exponential,340,12,,4000,1,1149.69,989,0,0,6,50,0.0125,9.7
stable,short,200,exponential,341,13,,4000,1,1171.59,743,0,0,6,20,0.005,9.7
stable,short,200,exponential,342,14,,4000,1,862.01,680,0,0,6,46,0.0115,8.8
stable,short,200,exponential,343,15,,4000,1,1280.43,913,0,0,6,112,0.028,9.9
stable,short,200,exponential,344,16,,3000,1,867.7,932,0,0,6,19,0.00633333333333333,9.9
stable,short,200,exponential,345,17,,4000,1,1095.4,791,0,0,6,75,0.01875,9.9
stable,short,200,exponential,346,18,,4000,1,1230.99,1128,0,0,6,33,0.00825,9.9
stable,short,200,exponential,347,19,,4000,1,1074.96,1003,0,0,6,63,0.01575,10.3
stable,short,200,exponential,348,20,,4000,1,1282.04,853,0,0,6,38,0.0095,8.6
120 days,,834,ebola_case_study,349,,real-time,4000,1,1437.03,1561,0,0,6,1129,0.28225,35.7
120 days,,1032,ebola_case_study,350,,retrospective,4000,1,1735.27,1876,0,0,6,1217,0.30425,81.3
180 days,,3149,ebola_case_study,351,,real-time,4000,1,1425.52,1766,0,0,6,883,0.22075,35.8
180 days,,3532,ebola_case_study,352,,retrospective,4000,1,1499.07,1825,0,0,7,25,0.00625,72.8
240 days,,2399,ebola_case_study,353,,real-time,4000,1,1403.97,2013,0,0,7,1,0.00025,35.9
240 days,,2483,ebola_case_study,354,,retrospective,4000,1,1624.31,1840,0,0,7,1,0.00025,53.6
60 days,,401,ebola_case_study,355,,real-time,4000,1,1588.59,1884,0,0,7,2,5e-04,36.7
60 days,,428,ebola_case_study,356,,retrospective,4000,1,1460.09,1866,0,0,7,23,0.00575,57
