scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,min_ess_bulk,min_ess_tail,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
decay,long,200,exponential,66,18,,4000,1,1317.74,1017,0,0,6,2,5e-04,6.2
decay,long,200,exponential,67,19,,4000,1,1106.45,1157,0,0,5,351,0.08775,5.6
decay,long,200,exponential,68,20,,4000,1,1185.29,812,0,0,5,504,0.126,5.9
decay,medium,200,exponential,69,1,,3000,1,1035.52,775,0,0,5,327,0.109,5.9
decay,medium,200,exponential,70,2,,4000,1,1152.9,1425,0,0,5,348,0.087,6
decay,medium,200,exponential,71,3,,4000,1,1282.89,1098,0,0,6,1,0.00025,6.4
decay,medium,200,exponential,72,4,,4000,1,1278.66,943,0,0,5,447,0.11175,6.2
decay,medium,200,exponential,73,5,,4000,1,1243.51,1064,0,0,6,2,5e-04,6.8
decay,medium,200,exponential,74,6,,4000,1,1405.82,1034,0,0,6,3,0.00075,5.9
decay,medium,200,exponential,75,7,,4000,1,1208.85,1177,0,0,6,89,0.02225,8.3
decay,medium,200,exponential,76,8,,4000,1,1196.16,781,0,0,6,1,0.00025,6.4
decay,medium,200,exponential,77,9,,4000,1,1293.42,1021,0,0,5,392,0.098,6.9
decay,medium,200,exponential,78,10,,4000,1,1396.71,1095,0,0,6,1,0.00025,6.9
decay,medium,200,exponential,79,11,,4000,1,1411.48,1200,0,0,6,1,0.00025,6
decay,medium,200,exponential,80,12,,4000,1,1381.82,914,0,0,5,723,0.18075,6.2
decay,medium,200,exponential,81,13,,4000,1,1003.77,510,0,0,6,1,0.00025,6.9
decay,medium,200,exponential,82,14,,4000,1,1159.39,759,0,0,6,1,0.00025,6.2
decay,medium,200,exponential,83,15,,4000,1,1307,1203,0,0,5,394,0.0985,6.1
decay,medium,200,exponential,84,16,,4000,1,1288.16,833,0,0,5,775,0.19375,6.4
decay,medium,200,exponential,85,17,,4000,1,1150.26,713,0,0,6,2,5e-04,6.3
decay,medium,200,exponential,86,18,,3000,1,1018.44,769,0,0,6,9,0.003,7.3
decay,medium,200,exponential,87,19,,4000,1,1298.94,1195,0,0,5,373,0.09325,6.1
decay,medium,200,exponential,88,20,,4000,1,1237.67,1105,0,0,6,1,0.00025,6.2
decay,short,200,exponential,89,1,,4000,1,1345.81,1041,0,0,6,4,0.001,6
decay,short,200,exponential,90,2,,4000,1,1330.83,1212,0,0,6,2,5e-04,7.3
decay,short,200,exponential,91,3,,4000,1,1379.41,1450,0,0,6,1,0.00025,7
decay,short,200,exponential,92,4,,4000,1,1100.81,1311,0,0,5,467,0.11675,6.1
decay,short,200,exponential,93,5,,4000,1,1229.09,1192,0,0,6,1,0.00025,6.6
decay,short,200,exponential,94,6,,4000,1,1242.46,1097,0,0,6,1,0.00025,6.2
decay,short,200,exponential,95,7,,4000,1,1307.14,978,0,0,5,604,0.151,6.9
decay,short,200,exponential,96,8,,4000,1,1378.58,1057,0,0,6,1,0.00025,6.3
decay,short,200,exponential,97,9,,4000,1,1174.73,909,0,0,5,502,0.1255,6.7
decay,short,200,exponential,98,10,,4000,1,1540.06,1541,0,0,6,2,5e-04,7.2
decay,short,200,exponential,99,11,,4000,1,1415.19,1054,0,0,6,1,0.00025,6.5
