scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
decay,medium,200,exponential,76,8,,4000,1,0,0,3,1610,0.4025,2.4
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1557,0.38925,2.5
decay,medium,200,exponential,78,10,,4000,1.01,0,0,3,1528,0.382,2.4
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1721,0.43025,2.5
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1735,0.43375,2.5
decay,medium,200,exponential,81,13,,4000,1.01,0,0,3,1561,0.39025,2.5
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1478,0.3695,2.4
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1764,0.441,2.5
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1547,0.38675,2.5
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1478,0.3695,2.4
decay,medium,200,exponential,86,18,,4000,1,0,0,4,7,0.00175,2.5
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1571,0.39275,2.5
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1637,0.40925,2.5
decay,short,200,exponential,89,1,,4000,1,0,0,3,1535,0.38375,2.6
decay,short,200,exponential,90,2,,4000,1,367,0.09175,5,288,0.072,6.4
decay,short,200,exponential,91,3,,4000,1.01,2761,0.69025,7,16,0.004,13.8
decay,short,200,exponential,92,4,,4000,1,0,0,3,1438,0.3595,2.6
decay,short,200,exponential,93,5,,4000,1,0,0,3,1588,0.397,2.6
decay,short,200,exponential,94,6,,4000,1,0,0,3,1394,0.3485,2.5
decay,short,200,exponential,95,7,,4000,1,0,0,3,1590,0.3975,2.7
decay,short,200,exponential,96,8,,4000,1,1,0.00025,3,1349,0.33725,2.7
decay,short,200,exponential,97,9,,4000,1,0,0,3,1359,0.33975,2.5
decay,short,200,exponential,98,10,,4000,1,0,0,3,1639,0.40975,2.7
decay,short,200,exponential,99,11,,4000,1,205,0.05125,4,275,0.06875,3.6
decay,short,200,exponential,100,12,,4000,1,129,0.03225,3,1413,0.35325,3
decay,short,200,exponential,101,13,,4000,1,0,0,3,1305,0.32625,2.5
decay,short,200,exponential,102,14,,4000,1,0,0,3,1382,0.3455,2.5
decay,short,200,exponential,103,15,,4000,1,0,0,3,1278,0.3195,2.5
decay,short,200,exponential,104,16,,4000,1,0,0,3,1415,0.35375,2.6
decay,short,200,exponential,105,17,,4000,1,0,0,3,1517,0.37925,2.5
decay,short,200,exponential,106,18,,4000,1,0,0,3,1560,0.39,2.5
decay,short,200,exponential,107,19,,4000,1,0,0,3,1461,0.36525,2.6
decay,short,200,exponential,108,20,,4000,1,0,0,3,1437,0.35925,2.7
fast decay,long,200,exponential,109,1,,4000,1,0,0,4,103,0.02575,2.8
fast decay,long,200,exponential,110,2,,4000,1,0,0,4,144,0.036,2.8
fast decay,long,200,exponential,111,3,,4000,1.01,0,0,4,151,0.03775,2.9
fast decay,long,200,exponential,112,4,,4000,1,0,0,4,108,0.027,2.7
fast decay,long,200,exponential,113,5,,4000,1,0,0,3,1413,0.35325,2.4
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,1798,0.4495,2.5
fast decay,long,200,exponential,115,7,,4000,1,0,0,4,9,0.00225,2.5
fast decay,long,200,exponential,116,8,,4000,1.01,0,0,4,28,0.007,2.5
fast decay,long,200,exponential,117,9,,4000,1,0,0,4,10,0.0025,2.6
fast decay,long,200,exponential,118,10,,4000,1,0,0,4,92,0.023,3
fast decay,long,200,exponential,119,11,,4000,1,0,0,4,63,0.01575,2.6
fast decay,long,200,exponential,120,12,,4000,1,0,0,4,43,0.01075,2.6
fast decay,long,200,exponential,121,13,,4000,1,0,0,4,12,0.003,2.5
fast decay,long,200,exponential,122,14,,4000,1,0,0,4,85,0.02125,2.7
fast decay,long,200,exponential,123,15,,4000,1.01,0,0,4,2,5e-04,2.5
fast decay,long,200,exponential,124,16,,4000,1,0,0,4,138,0.0345,2.9
fast decay,long,200,exponential,125,17,,4000,1,0,0,4,13,0.00325,2.5
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,1321,0.33025,2.5
fast decay,long,200,exponential,127,19,,4000,1,0,0,4,7,0.00175,2.6
fast decay,long,200,exponential,128,20,,4000,1,0,0,4,2,5e-04,2.4
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,1606,0.4015,2.5
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,1440,0.36,2.4
fast decay,medium,200,exponential,131,3,,4000,1,0,0,3,1641,0.41025,2.5
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,1515,0.37875,2.4
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,1886,0.4715,2.5
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,1746,0.4365,2.5
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,1513,0.37825,2.4
fast decay,medium,200,exponential,136,8,,4000,1.01,0,0,3,1591,0.39775,2.5
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,1654,0.4135,2.5
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,1367,0.34175,2.5
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1650,0.4125,2.4
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1789,0.44725,2.6
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1586,0.3965,2.5
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1767,0.44175,2.5
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1717,0.42925,2.4
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1632,0.408,2.5
fast decay,medium,200,exponential,145,17,,4000,1,0,0,4,1,0.00025,2.5
fast decay,medium,200,exponential,146,18,,4000,1,0,0,3,1660,0.415,2.5
fast decay,medium,200,exponential,147,19,,4000,1,0,0,3,1535,0.38375,2.5
fast decay,medium,200,exponential,148,20,,4000,1,0,0,3,1618,0.4045,2.5
fast decay,short,200,exponential,149,1,,4000,1,0,0,4,22,0.0055,2.7
fast decay,short,200,exponential,150,2,,4000,1.01,2717,0.67925,9,101,0.02525,49.3
fast decay,short,200,exponential,151,3,,4000,1.05,3200,0.8,6,33,0.00825,17.1
fast decay,short,200,exponential,152,4,,4000,1,0,0,3,1542,0.3855,2.5
fast decay,short,200,exponential,153,5,,4000,1,7,0.00175,3,1421,0.35525,2.5
fast decay,short,200,exponential,154,6,,4000,1,0,0,3,1739,0.43475,2.6
fast decay,short,200,exponential,155,7,,4000,1,460,0.115,7,67,0.01675,14.3
fast decay,short,200,exponential,156,8,,4000,1,0,0,3,1296,0.324,2.5
fast decay,short,200,exponential,157,9,,4000,1,4,0.001,3,1521,0.38025,2.6
fast decay,short,200,exponential,158,10,,4000,1.01,2620,0.655,6,107,0.02675,13.6
fast decay,short,200,exponential,159,11,,4000,1,19,0.00475,3,1570,0.3925,2.7
fast decay,short,200,exponential,160,12,,4000,1.04,2930,0.7325,6,109,0.02725,13
fast decay,short,200,exponential,161,13,,4000,1,0,0,3,1422,0.3555,2.5
fast decay,short,200,exponential,162,14,,4000,1,0,0,4,2,5e-04,2.6
fast decay,short,200,exponential,163,15,,4000,1.02,2597,0.64925,8,69,0.01725,26.7
fast decay,short,200,exponential,164,16,,4000,1,815,0.20375,5,277,0.06925,8.5
fast decay,short,200,exponential,165,17,,4000,1,13,0.00325,3,1264,0.316,2.7
fast decay,short,200,exponential,166,18,,4000,1.01,2936,0.734,8,76,0.019,26.1
fast decay,short,200,exponential,167,19,,4000,1,0,0,3,1399,0.34975,2.7
fast decay,short,200,exponential,168,20,,4000,1,0,0,3,1512,0.378,2.7
fast growth,long,200,exponential,169,1,,4000,1,0,0,4,164,0.041,2.9
fast growth,long,200,exponential,170,2,,4000,1.01,0,0,4,143,0.03575,3.2
fast growth,long,200,exponential,171,3,,4000,1.01,0,0,4,119,0.02975,3.1
fast growth,long,200,exponential,172,4,,4000,1.01,0,0,4,157,0.03925,2.9
fast growth,long,200,exponential,173,5,,4000,1,0,0,4,138,0.0345,3
fast growth,long,200,exponential,174,6,,4000,1,0,0,4,189,0.04725,3.1
fast growth,long,200,exponential,175,7,,4000,1,0,0,4,133,0.03325,3.1
fast growth,long,200,exponential,176,8,,4000,1.01,0,0,5,10,0.0025,3.3
fast growth,long,200,exponential,177,9,,4000,1,0,0,5,1,0.00025,3.1
fast growth,long,200,exponential,178,10,,4000,1,0,0,4,158,0.0395,3
fast growth,long,200,exponential,179,11,,4000,1,0,0,4,128,0.032,3.1
fast growth,long,200,exponential,180,12,,4000,1,0,0,4,149,0.03725,3
fast growth,long,200,exponential,181,13,,4000,1.01,0,0,5,14,0.0035,3.3
fast growth,long,200,exponential,182,14,,4000,1,0,0,5,1,0.00025,3.2
fast growth,long,200,exponential,183,15,,4000,1,0,0,4,143,0.03575,3
fast growth,long,200,exponential,184,16,,4000,1,0,0,4,125,0.03125,3.1
fast growth,long,200,exponential,185,17,,4000,1,0,0,4,161,0.04025,2.9
fast growth,long,200,exponential,186,18,,4000,1.01,0,0,5,1,0.00025,3.1
fast growth,long,200,exponential,187,19,,4000,1.01,0,0,4,114,0.0285,3.2
fast growth,long,200,exponential,188,20,,4000,1.01,0,0,5,1,0.00025,3.2
fast growth,medium,200,exponential,189,1,,4000,1,0,0,4,156,0.039,3
fast growth,medium,200,exponential,190,2,,4000,1.01,0,0,4,138,0.0345,2.8
fast growth,medium,200,exponential,191,3,,4000,1,0,0,4,139,0.03475,2.9
fast growth,medium,200,exponential,192,4,,4000,1,0,0,4,151,0.03775,2.8
fast growth,medium,200,exponential,193,5,,4000,1,0,0,4,121,0.03025,2.9
fast growth,medium,200,exponential,194,6,,4000,1,0,0,4,179,0.04475,2.9
fast growth,medium,200,exponential,195,7,,4000,1,0,0,4,182,0.0455,2.9
fast growth,medium,200,exponential,196,8,,4000,1,0,0,4,153,0.03825,3.1
fast growth,medium,200,exponential,197,9,,4000,1,0,0,4,165,0.04125,2.8
fast growth,medium,200,exponential,198,10,,4000,1,0,0,4,167,0.04175,2.9
fast growth,medium,200,exponential,199,11,,4000,1,0,0,4,184,0.046,2.8
fast growth,medium,200,exponential,200,12,,4000,1,0,0,4,151,0.03775,2.9
fast growth,medium,200,exponential,201,13,,4000,1,0,0,4,133,0.03325,2.9
fast growth,medium,200,exponential,202,14,,4000,1,0,0,4,181,0.04525,2.9
fast growth,medium,200,exponential,203,15,,4000,1,0,0,4,194,0.0485,3
