scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
decay,medium,200,exponential,76,8,,4000,1,0,0,3,1735,0.43375,0.4
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1561,0.39025,0.4
decay,medium,200,exponential,78,10,,4000,1,0,0,3,1590,0.3975,0.5
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1553,0.38825,0.5
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1541,0.38525,0.4
decay,medium,200,exponential,81,13,,4000,1,0,0,3,1608,0.402,0.4
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1653,0.41325,0.4
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1564,0.391,0.5
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1618,0.4045,0.4
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1494,0.3735,0.4
decay,medium,200,exponential,86,18,,4000,1,0,0,3,1673,0.41825,0.4
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1684,0.421,0.4
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1675,0.41875,0.5
decay,short,200,exponential,89,1,,4000,1,0,0,3,1392,0.348,0.5
decay,short,200,exponential,90,2,,4000,1,0,0,3,1636,0.409,0.5
decay,short,200,exponential,91,3,,4000,1,0,0,3,1721,0.43025,0.5
decay,short,200,exponential,92,4,,4000,1,0,0,3,1776,0.444,0.5
decay,short,200,exponential,93,5,,4000,1,0,0,3,1649,0.41225,0.4
decay,short,200,exponential,94,6,,4000,1,0,0,3,1578,0.3945,0.4
decay,short,200,exponential,95,7,,4000,1,0,0,3,1454,0.3635,0.4
decay,short,200,exponential,96,8,,4000,1,0,0,3,1557,0.38925,0.5
decay,short,200,exponential,97,9,,4000,1,0,0,3,1586,0.3965,0.4
decay,short,200,exponential,98,10,,4000,1,0,0,3,1621,0.40525,0.4
decay,short,200,exponential,99,11,,4000,1,0,0,3,1586,0.3965,0.5
decay,short,200,exponential,100,12,,4000,1,0,0,3,1586,0.3965,0.4
decay,short,200,exponential,101,13,,4000,1,0,0,3,1752,0.438,0.5
decay,short,200,exponential,102,14,,4000,1,0,0,3,1596,0.399,0.4
decay,short,200,exponential,103,15,,4000,1,0,0,3,1598,0.3995,0.5
decay,short,200,exponential,104,16,,4000,1,0,0,3,1665,0.41625,0.4
decay,short,200,exponential,105,17,,4000,1,0,0,3,1617,0.40425,0.4
decay,short,200,exponential,106,18,,4000,1,0,0,3,1411,0.35275,0.5
decay,short,200,exponential,107,19,,4000,1,0,0,3,1604,0.401,0.5
decay,short,200,exponential,108,20,,4000,1,0,0,3,1718,0.4295,0.5
fast decay,long,200,exponential,109,1,,4000,1,0,0,3,1738,0.4345,0.5
fast decay,long,200,exponential,110,2,,4000,1,0,0,3,1597,0.39925,0.5
fast decay,long,200,exponential,111,3,,4000,1,0,0,3,1513,0.37825,0.5
fast decay,long,200,exponential,112,4,,4000,1,0,0,3,1700,0.425,0.5
fast decay,long,200,exponential,113,5,,4000,1,0,0,3,1691,0.42275,0.4
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,1583,0.39575,0.4
fast decay,long,200,exponential,115,7,,4000,1,0,0,3,1640,0.41,0.4
fast decay,long,200,exponential,116,8,,4000,1,0,0,3,1593,0.39825,0.5
fast decay,long,200,exponential,117,9,,4000,1,0,0,3,1543,0.38575,0.5
fast decay,long,200,exponential,118,10,,4000,1,0,0,3,1613,0.40325,0.4
fast decay,long,200,exponential,119,11,,4000,1,0,0,3,1579,0.39475,0.4
fast decay,long,200,exponential,120,12,,4000,1,0,0,3,1423,0.35575,0.5
fast decay,long,200,exponential,121,13,,4000,1,0,0,3,1690,0.4225,0.5
fast decay,long,200,exponential,122,14,,4000,1,0,0,3,1304,0.326,0.4
fast decay,long,200,exponential,123,15,,4000,1,0,0,3,1663,0.41575,0.5
fast decay,long,200,exponential,124,16,,4000,1,0,0,3,1724,0.431,0.5
fast decay,long,200,exponential,125,17,,4000,1,0,0,3,1557,0.38925,0.4
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,1574,0.3935,0.5
fast decay,long,200,exponential,127,19,,4000,1,0,0,3,1623,0.40575,0.4
fast decay,long,200,exponential,128,20,,4000,1,0,0,3,1642,0.4105,0.5
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,1552,0.388,0.5
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,1608,0.402,0.4
fast decay,medium,200,exponential,131,3,,4000,1.01,0,0,3,1698,0.4245,0.4
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,1630,0.4075,0.4
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,1604,0.401,0.4
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,1504,0.376,0.5
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,1735,0.43375,0.5
fast decay,medium,200,exponential,136,8,,4000,1,0,0,3,1678,0.4195,0.5
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,1560,0.39,0.4
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,1639,0.40975,0.5
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1645,0.41125,0.5
fast decay,medium,200,exponential,140,12,,4000,1.01,0,0,3,1761,0.44025,0.4
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1539,0.38475,0.4
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1522,0.3805,0.4
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1446,0.3615,0.4
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1661,0.41525,0.4
fast decay,medium,200,exponential,145,17,,4000,1,0,0,3,1830,0.4575,0.5
fast decay,medium,200,exponential,146,18,,4000,1,0,0,3,1574,0.3935,0.5
fast decay,medium,200,exponential,147,19,,4000,1,0,0,3,1693,0.42325,0.4
fast decay,medium,200,exponential,148,20,,4000,1,0,0,3,1660,0.415,0.4
fast decay,short,200,exponential,149,1,,4000,1,0,0,3,1471,0.36775,0.4
fast decay,short,200,exponential,150,2,,4000,1,0,0,3,1776,0.444,0.4
fast decay,short,200,exponential,151,3,,4000,1,0,0,3,1543,0.38575,0.4
fast decay,short,200,exponential,152,4,,4000,1,0,0,3,1786,0.4465,0.5
fast decay,short,200,exponential,153,5,,4000,1,0,0,3,1723,0.43075,0.5
fast decay,short,200,exponential,154,6,,4000,1,0,0,3,1678,0.4195,0.5
fast decay,short,200,exponential,155,7,,4000,1,0,0,3,1566,0.3915,0.5
fast decay,short,200,exponential,156,8,,4000,1,0,0,3,1768,0.442,0.5
fast decay,short,200,exponential,157,9,,4000,1,0,0,3,1609,0.40225,0.5
fast decay,short,200,exponential,158,10,,4000,1,0,0,3,1543,0.38575,0.4
fast decay,short,200,exponential,159,11,,4000,1,0,0,3,1507,0.37675,0.4
fast decay,short,200,exponential,160,12,,4000,1,0,0,3,1574,0.3935,0.4
fast decay,short,200,exponential,161,13,,4000,1,0,0,3,1741,0.43525,0.4
fast decay,short,200,exponential,162,14,,4000,1,0,0,3,1579,0.39475,0.4
fast decay,short,200,exponential,163,15,,4000,1,0,0,3,1688,0.422,0.5
fast decay,short,200,exponential,164,16,,4000,1,0,0,3,1703,0.42575,0.5
fast decay,short,200,exponential,165,17,,4000,1,0,0,3,1659,0.41475,0.5
fast decay,short,200,exponential,166,18,,4000,1,0,0,3,1696,0.424,0.4
fast decay,short,200,exponential,167,19,,4000,1,0,0,3,1541,0.38525,0.4
fast decay,short,200,exponential,168,20,,4000,1,0,0,3,1505,0.37625,0.4
fast growth,long,200,exponential,169,1,,4000,1,0,0,3,1739,0.43475,0.3
fast growth,long,200,exponential,170,2,,4000,1,0,0,3,1754,0.4385,0.4
fast growth,long,200,exponential,171,3,,4000,1,0,0,3,1778,0.4445,0.3
fast growth,long,200,exponential,172,4,,4000,1,0,0,3,1699,0.42475,0.3
fast growth,long,200,exponential,173,5,,4000,1,0,0,3,1729,0.43225,0.3
fast growth,long,200,exponential,174,6,,4000,1,0,0,3,1720,0.43,0.3
fast growth,long,200,exponential,175,7,,4000,1,0,0,3,1631,0.40775,0.3
fast growth,long,200,exponential,176,8,,4000,1,0,0,3,1682,0.4205,0.3
fast growth,long,200,exponential,177,9,,4000,1,0,0,3,1609,0.40225,0.3
fast growth,long,200,exponential,178,10,,4000,1,0,0,3,1600,0.4,0.3
fast growth,long,200,exponential,179,11,,4000,1,0,0,3,1796,0.449,0.3
fast growth,long,200,exponential,180,12,,4000,1,0,0,3,1685,0.42125,0.4
fast growth,long,200,exponential,181,13,,4000,1,0,0,3,1670,0.4175,0.4
fast growth,long,200,exponential,182,14,,4000,1,0,0,3,1591,0.39775,0.4
fast growth,long,200,exponential,183,15,,4000,1,0,0,3,1655,0.41375,0.4
fast growth,long,200,exponential,184,16,,4000,1,0,0,3,1731,0.43275,0.3
fast growth,long,200,exponential,185,17,,4000,1,0,0,3,1724,0.431,0.3
fast growth,long,200,exponential,186,18,,4000,1,0,0,3,1486,0.3715,0.3
fast growth,long,200,exponential,187,19,,4000,1,0,0,3,1748,0.437,0.4
fast growth,long,200,exponential,188,20,,4000,1,0,0,3,1681,0.42025,0.3
fast growth,medium,200,exponential,189,1,,4000,1,0,0,3,1469,0.36725,0.3
fast growth,medium,200,exponential,190,2,,4000,1,0,0,3,1813,0.45325,0.3
fast growth,medium,200,exponential,191,3,,4000,1,0,0,3,1699,0.42475,0.3
fast growth,medium,200,exponential,192,4,,4000,1,0,0,3,1572,0.393,0.4
fast growth,medium,200,exponential,193,5,,4000,1,0,0,3,1728,0.432,0.3
fast growth,medium,200,exponential,194,6,,4000,1,0,0,3,1653,0.41325,0.4
fast growth,medium,200,exponential,195,7,,4000,1,0,0,3,1680,0.42,0.4
fast growth,medium,200,exponential,196,8,,4000,1,0,0,3,1772,0.443,0.3
fast growth,medium,200,exponential,197,9,,4000,1,0,0,3,1669,0.41725,0.4
fast growth,medium,200,exponential,198,10,,4000,1,0,0,3,1724,0.431,0.4
fast growth,medium,200,exponential,199,11,,4000,1,0,0,3,1538,0.3845,0.3
fast growth,medium,200,exponential,200,12,,4000,1,0,0,3,1744,0.436,0.3
fast growth,medium,200,exponential,201,13,,4000,1,0,0,3,1696,0.424,0.3
fast growth,medium,200,exponential,202,14,,4000,1,0,0,3,1704,0.426,0.4
fast growth,medium,200,exponential,203,15,,4000,1,0,0,3,1604,0.401,0.3
fast growth,medium,200,exponential,204,16,,4000,1,0,0,3,1751,0.43775,0.3
fast growth,medium,200,exponential,205,17,,4000,1,0,0,3,1771,0.44275,0.3
fast growth,medium,200,exponential,206,18,,4000,1,0,0,3,1748,0.437,0.4
fast growth,medium,200,exponential,207,19,,4000,1,0,0,3,1476,0.369,0.4
fast growth,medium,200,exponential,208,20,,4000,1,0,0,3,1571,0.39275,0.3
fast growth,short,200,exponential,209,1,,4000,1,0,0,3,1547,0.38675,0.3
fast growth,short,200,exponential,210,2,,4000,1,0,0,3,1547,0.38675,0.3
fast growth,short,200,exponential,211,3,,4000,1,0,0,3,1579,0.39475,0.3
fast growth,short,200,exponential,212,4,,4000,1,0,0,3,1564,0.391,0.4
fast growth,short,200,exponential,213,5,,4000,1,0,0,3,1750,0.4375,0.3
fast growth,short,200,exponential,214,6,,4000,1,0,0,3,1686,0.4215,0.3
fast growth,short,200,exponential,215,7,,4000,1,0,0,3,1600,0.4,0.3
fast growth,short,200,exponential,216,8,,4000,1,0,0,3,1638,0.4095,0.3
fast growth,short,200,exponential,217,9,,4000,1,0,0,4,2,5e-04,0.3
fast growth,short,200,exponential,218,10,,4000,1,0,0,3,1658,0.4145,0.3
fast growth,short,200,exponential,219,11,,4000,1,0,0,3,1548,0.387,0.4
fast growth,short,200,exponential,220,12,,4000,1,0,0,3,1596,0.399,0.3
fast growth,short,200,exponential,221,13,,4000,1,0,0,3,1626,0.4065,0.4
fast growth,short,200,exponential,222,14,,4000,1,0,0,4,1,0.00025,0.3
fast growth,short,200,exponential,223,15,,4000,1,0,0,3,1625,0.40625,0.3
fast growth,short,200,exponential,224,16,,4000,1,0,0,3,1689,0.42225,0.4
fast growth,short,200,exponential,225,17,,4000,1,0,0,3,1748,0.437,0.3
fast growth,short,200,exponential,226,18,,4000,1,0,0,3,1395,0.34875,0.3
fast growth,short,200,exponential,227,19,,4000,1,0,0,3,1634,0.4085,0.3
fast growth,short,200,exponential,228,20,,4000,1,0,0,4,4,0.001,0.3
growth,long,200,exponential,229,1,,4000,1,0,0,3,1453,0.36325,0.4
growth,long,200,exponential,230,2,,4000,1,0,0,3,1588,0.397,0.5
growth,long,200,exponential,231,3,,4000,1,0,0,3,1533,0.38325,0.4
growth,long,200,exponential,232,4,,4000,1,0,0,3,1686,0.4215,0.4
growth,long,200,exponential,233,5,,4000,1,0,0,3,1540,0.385,0.3
growth,long,200,exponential,234,6,,4000,1,0,0,3,1642,0.4105,0.4
growth,long,200,exponential,235,7,,4000,1,0,0,3,1644,0.411,0.4
growth,long,200,exponential,236,8,,4000,1,0,0,3,1680,0.42,0.4
growth,long,200,exponential,237,9,,4000,1,0,0,3,1710,0.4275,0.3
growth,long,200,exponential,238,10,,4000,1,0,0,3,1659,0.41475,0.4
growth,long,200,exponential,239,11,,4000,1,0,0,3,1682,0.4205,0.4
growth,long,200,exponential,240,12,,4000,1,0,0,3,1504,0.376,0.3
growth,long,200,exponential,241,13,,4000,1,0,0,3,1589,0.39725,0.3
growth,long,200,exponential,242,14,,4000,1,0,0,3,1800,0.45,0.5
growth,long,200,exponential,243,15,,4000,1,0,0,3,1511,0.37775,0.4
growth,long,200,exponential,244,16,,4000,1.01,0,0,3,1688,0.422,0.5
growth,long,200,exponential,245,17,,4000,1,0,0,3,1535,0.38375,0.4
growth,long,200,exponential,246,18,,4000,1,0,0,3,1713,0.42825,0.4
growth,long,200,exponential,247,19,,4000,1,0,0,3,1764,0.441,0.4
growth,long,200,exponential,248,20,,4000,1,0,0,3,1493,0.37325,0.3
growth,medium,200,exponential,249,1,,4000,1,0,0,3,1748,0.437,0.4
growth,medium,200,exponential,250,2,,4000,1,0,0,3,1646,0.4115,0.4
