scenario,distribution,sample_size,data_type,id,replicate,obs_type,samples,max_rhat,divergent_transitions,per_divergent_transitions,max_treedepth,no_at_max_treedepth,per_at_max_treedepth,run_time
decay,medium,200,exponential,77,9,,4000,1,0,0,3,1707,0.42675,1.1
decay,medium,200,exponential,78,10,,4000,1,0,0,3,1469,0.36725,1
decay,medium,200,exponential,79,11,,4000,1,0,0,3,1673,0.41825,1
decay,medium,200,exponential,80,12,,4000,1,0,0,3,1592,0.398,1.1
decay,medium,200,exponential,81,13,,4000,1,0,0,3,1576,0.394,1.1
decay,medium,200,exponential,82,14,,4000,1,0,0,3,1466,0.3665,1
decay,medium,200,exponential,83,15,,4000,1,0,0,3,1539,0.38475,1.1
decay,medium,200,exponential,84,16,,4000,1,0,0,3,1563,0.39075,1.1
decay,medium,200,exponential,85,17,,4000,1,0,0,3,1422,0.3555,1
decay,medium,200,exponential,86,18,,4000,1,0,0,3,1657,0.41425,1.1
decay,medium,200,exponential,87,19,,4000,1,0,0,3,1605,0.40125,1.1
decay,medium,200,exponential,88,20,,4000,1,0,0,3,1635,0.40875,1
decay,short,200,exponential,89,1,,4000,1,0,0,3,1526,0.3815,1.1
decay,short,200,exponential,90,2,,4000,1,0,0,3,1586,0.3965,1.1
decay,short,200,exponential,91,3,,4000,1,0,0,3,1491,0.37275,1
decay,short,200,exponential,92,4,,4000,1,0,0,3,1529,0.38225,1.1
decay,short,200,exponential,93,5,,4000,1,0,0,3,1525,0.38125,1.1
decay,short,200,exponential,94,6,,4000,1,0,0,3,1446,0.3615,1.1
decay,short,200,exponential,95,7,,4000,1,0,0,3,1358,0.3395,1
decay,short,200,exponential,96,8,,4000,1,0,0,3,1512,0.378,1.1
decay,short,200,exponential,97,9,,4000,1,0,0,3,1620,0.405,1.1
decay,short,200,exponential,98,10,,4000,1,0,0,3,1468,0.367,1
decay,short,200,exponential,99,11,,4000,1,0,0,3,1342,0.3355,1.1
decay,short,200,exponential,100,12,,4000,1,0,0,3,1546,0.3865,1.1
decay,short,200,exponential,101,13,,4000,1,0,0,3,1151,0.28775,1.1
decay,short,200,exponential,102,14,,4000,1,0,0,3,1582,0.3955,1
decay,short,200,exponential,103,15,,4000,1,0,0,3,1647,0.41175,1.1
decay,short,200,exponential,104,16,,4000,1,0,0,3,1459,0.36475,1.1
decay,short,200,exponential,105,17,,4000,1,0,0,3,1545,0.38625,1.1
decay,short,200,exponential,106,18,,4000,1,0,0,3,1552,0.388,1
decay,short,200,exponential,107,19,,4000,1,0,0,3,1622,0.4055,1.1
decay,short,200,exponential,108,20,,4000,1,0,0,3,1551,0.38775,1.1
fast decay,long,200,exponential,109,1,,4000,1,0,0,3,1773,0.44325,1.1
fast decay,long,200,exponential,110,2,,4000,1,0,0,3,1590,0.3975,1.1
fast decay,long,200,exponential,111,3,,4000,1,0,0,3,1614,0.4035,1.1
fast decay,long,200,exponential,112,4,,4000,1,0,0,3,1652,0.413,1
fast decay,long,200,exponential,113,5,,4000,1,0,0,3,1566,0.3915,1.1
fast decay,long,200,exponential,114,6,,4000,1,0,0,3,1610,0.4025,0.9
fast decay,long,200,exponential,115,7,,4000,1,0,0,3,1607,0.40175,1.1
fast decay,long,200,exponential,116,8,,4000,1,0,0,3,1537,0.38425,1
fast decay,long,200,exponential,117,9,,4000,1,0,0,3,1705,0.42625,1.1
fast decay,long,200,exponential,118,10,,4000,1,0,0,3,1619,0.40475,1
fast decay,long,200,exponential,119,11,,4000,1,0,0,3,1677,0.41925,1.1
fast decay,long,200,exponential,120,12,,4000,1,0,0,3,1513,0.37825,1
fast decay,long,200,exponential,121,13,,4000,1,0,0,3,1601,0.40025,1.1
fast decay,long,200,exponential,122,14,,4000,1,0,0,3,1618,0.4045,1.1
fast decay,long,200,exponential,123,15,,4000,1,0,0,3,1531,0.38275,1.1
fast decay,long,200,exponential,124,16,,4000,1,0,0,3,1586,0.3965,1
fast decay,long,200,exponential,125,17,,4000,1,0,0,3,1666,0.4165,1.1
fast decay,long,200,exponential,126,18,,4000,1,0,0,3,1597,0.39925,1.1
fast decay,long,200,exponential,127,19,,4000,1,0,0,3,1586,0.3965,1.1
fast decay,long,200,exponential,128,20,,4000,1,0,0,3,1650,0.4125,1
fast decay,medium,200,exponential,129,1,,4000,1,0,0,3,1615,0.40375,1.1
fast decay,medium,200,exponential,130,2,,4000,1,0,0,3,1539,0.38475,1.1
fast decay,medium,200,exponential,131,3,,4000,1,0,0,3,1465,0.36625,1.1
fast decay,medium,200,exponential,132,4,,4000,1,0,0,3,1568,0.392,1.1
fast decay,medium,200,exponential,133,5,,4000,1,0,0,3,1483,0.37075,1
fast decay,medium,200,exponential,134,6,,4000,1,0,0,3,1626,0.4065,1.1
fast decay,medium,200,exponential,135,7,,4000,1,0,0,3,1615,0.40375,1.1
fast decay,medium,200,exponential,136,8,,4000,1,0,0,3,1494,0.3735,1.1
fast decay,medium,200,exponential,137,9,,4000,1,0,0,3,1496,0.374,1
fast decay,medium,200,exponential,138,10,,4000,1,0,0,3,1550,0.3875,1.1
fast decay,medium,200,exponential,139,11,,4000,1,0,0,3,1689,0.42225,1.1
fast decay,medium,200,exponential,140,12,,4000,1,0,0,3,1519,0.37975,1.1
fast decay,medium,200,exponential,141,13,,4000,1,0,0,3,1541,0.38525,1.1
fast decay,medium,200,exponential,142,14,,4000,1,0,0,3,1646,0.4115,1.1
fast decay,medium,200,exponential,143,15,,4000,1,0,0,3,1491,0.37275,1.1
fast decay,medium,200,exponential,144,16,,4000,1,0,0,3,1586,0.3965,1.1
fast decay,medium,200,exponential,145,17,,4000,1,0,0,3,1630,0.4075,1.1
fast decay,medium,200,exponential,146,18,,4000,1,0,0,3,1723,0.43075,1.1
fast decay,medium,200,exponential,147,19,,4000,1,0,0,3,1626,0.4065,1.1
fast decay,medium,200,exponential,148,20,,4000,1,0,0,3,1631,0.40775,1.1
fast decay,short,200,exponential,149,1,,4000,1,0,0,3,1495,0.37375,1.1
fast decay,short,200,exponential,150,2,,4000,1,0,0,3,1463,0.36575,1
fast decay,short,200,exponential,151,3,,4000,1,0,0,3,1509,0.37725,1
fast decay,short,200,exponential,152,4,,4000,1,0,0,3,1476,0.369,1.1
fast decay,short,200,exponential,153,5,,4000,1,0,0,3,1533,0.38325,1.1
fast decay,short,200,exponential,154,6,,4000,1,0,0,3,1476,0.369,1
fast decay,short,200,exponential,155,7,,4000,1,0,0,3,1670,0.4175,1.1
fast decay,short,200,exponential,156,8,,4000,1,0,0,3,1520,0.38,1.1
fast decay,short,200,exponential,157,9,,4000,1,0,0,3,1414,0.3535,1.1
fast decay,short,200,exponential,158,10,,4000,1,0,0,3,1558,0.3895,1.1
fast decay,short,200,exponential,159,11,,4000,1,0,0,3,1676,0.419,1
fast decay,short,200,exponential,160,12,,4000,1,0,0,3,1555,0.38875,1
fast decay,short,200,exponential,161,13,,4000,1,0,0,3,1662,0.4155,1.1
fast decay,short,200,exponential,162,14,,4000,1,0,0,3,1539,0.38475,1.1
fast decay,short,200,exponential,163,15,,4000,1,0,0,3,1448,0.362,1.1
fast decay,short,200,exponential,164,16,,4000,1,0,0,3,1408,0.352,1
fast decay,short,200,exponential,165,17,,4000,1,0,0,3,1513,0.37825,1.1
fast decay,short,200,exponential,166,18,,4000,1,0,0,3,1387,0.34675,1.1
fast decay,short,200,exponential,167,19,,4000,1,0,0,3,1472,0.368,1
fast decay,short,200,exponential,168,20,,4000,1,0,0,3,1444,0.361,1.1
